,title,condition,price,location,price($),country_code,store_name,store_type,simple_condition,brand,has_brand,title_length,log_price,log_title_length
10923,Trench Leather Used Man Tg50 Green LLV1644,Pre-Owned,$84.90,Italy,84.9,IT,eBay,International,Used,Other,False,42,4.45318382899021,3.7612001156935624
10924,Excelsior Leather Jacket Used Men Size 52 Copper XYC950L,Pre-Owned,$38.96,Italy,38.96,IT,eBay,International,Used,Other,False,56,3.687878953780353,4.04305126783455
10925,Nazzareno Gabrielli Leather Jacket Used Woman Size 40 Blue XYE179L,Pre-Owned,$44.14,Italy,44.14,IT,eBay,International,Used,Other,False,66,3.8097687713893897,4.204692619390966
10926,Leather Jacket Used Woman Blue Size 46 PGS086PI,Pre-Owned,$34.46,Italy,34.46,IT,eBay,International,Used,Other,False,47,3.5684053006460617,3.871201010907891
10927,Casafina Jacket Leather Man Tg54 Brown LLV773,Pre-Owned,$59.05,Italy,59.05,IT,eBay,International,Used,Other,False,45,4.095177548525992,3.828641396489095
10928,Jacket Lei&Lei Woman Blue Genuine Leather Size 44 Mon 1086 Lz,Pre-Owned,$36.54,Italy,36.54,IT,eBay,International,Used,Other,False,61,3.6254070311583626,4.127134385045092
10929,Essebi Leather Jacket Men Vedone Size 56 PGE070LZ,Pre-Owned,$27.61,Italy,27.61,IT,eBay,International,Used,Other,False,49,3.3537563070620187,3.912023005428146
10930,CC Jacket Genuine Leather Used Woman Size L Black LLV115,Pre-Owned,$39.25,Italy,39.25,IT,eBay,International,Used,Other,False,56,3.6951100038645723,4.04305126783455
10931,Vera Pelle Jacket Used Man Size 54 Brown LLV85,Pre-Owned,$38.85,Italy,38.85,IT,eBay,International,Used,Other,False,46,3.685122405236224,3.8501476017100584
10933,Used Leather Jacket Woman Gray Size 44 PGC1144PI,Pre-Owned,$35.97,Italy,35.97,IT,eBay,International,Used,Other,False,48,3.6101067729485403,3.8918202981106265
10934,Interview with The Vampire Crew Black Leather Jacket for Men and Women,Brand New,$159.00,Pakistan,159.0,PK,eBay,International,New,Other,False,70,5.075173815233827,4.2626798770413155
10935,Jacket Genuine Leather Used Woman Size 46 Black LLV221,Pre-Owned,$51.45,Italy,51.45,IT,eBay,International,Used,Other,False,54,3.9598603348423063,4.007333185232471
10936,Leather Jacket Used Men Brown Size 50 PGC140PI,Pre-Owned,$29.31,Italy,29.31,IT,eBay,International,Used,Other,False,46,3.4114776910697118,3.8501476017100584
10937,De Blasio Used Faux Leather Jacket Men Size L White XYM597L,Pre-Owned,$35.97,Italy,35.97,IT,eBay,International,Used,Other,False,59,3.6101067729485403,4.0943445622221
10938,Chloé Genuine Leather Jacket Used Women Size 40 Black LLV236,Pre-Owned,$129.90,Italy,129.9,IT,eBay,International,Used,Chloé,True,60,4.874433672915854,4.110873864173311
10939,Men's Leather Jacket Size 44 Black LLV1129,Pre-Owned,$56.85,Italy,56.85,IT,eBay,International,Used,Other,False,42,4.0578534536396855,3.7612001156935624
10940,Men's Tan Suede Leather Jacket Western Cowboy BrownVintage Trucker Coat Buttoned,Brand New,$131.05,Pakistan,131.05,PK,eBay,International,New,Other,False,80,4.883180638743141,4.394449154672439
10941,Hutton Men's Brown Leather Jacket Size 54 LLV1937,Pre-Owned,$71.81,Italy,71.81,IT,eBay,International,Used,Other,False,49,4.2878533084066195,3.912023005428146
